
Activity Name: RopeSkipping/whc
Left,Front
2014-09-29 10:34:53
x	y	z
-0.8281	-0.2049	0.5430
-0.8357	-0.2691	0.4155
-0.8347	-0.2729	0.3909
-0.8763	-0.2134	0.4164
-0.9056	-0.2691	0.4891
-0.8480	-0.4353	0.4759
-0.8735	-0.2606	0.5042
-0.8234	0.1095	0.5194
-0.8178	-0.1964	0.3050
-0.8206	-0.3824	0.1813
-0.7998	-0.1284	0.2984
-0.9065	0.0255	0.4457
-0.9821	-0.0944	0.4665
-0.9934	-0.1983	0.4684
-0.9160	-0.1964	0.4636
-0.8772	-0.1435	0.4665
-0.8385	-0.0916	0.4712
-0.7743	-0.0869	0.4438
-0.7016	-0.0463	0.3890
-0.5439	0.0142	0.3126
-0.5411	0.1143	0.2531
-0.5590	0.2181	0.3154
-0.8612	0.3097	0.3088
-0.9991	0.2786	0.2276
-1.0312	0.3173	0.2946
-1.0850	0.2805	0.2021
-1.0123	0.1992	0.3881
-0.9603	0.2077	0.5581
-0.9216	0.4372	0.8083
-0.8300	0.5732	0.9197
-0.7517	0.8725	0.9877
-0.5685	0.6223	1.3277
-0.3220	0.3966	0.8999
0.1369	0.6119	0.8461
0.1350	0.9348	0.6563
-0.0123	0.6988	0.7620
-0.2436	0.6648	0.7479
-0.4004	0.6978	0.8310
-0.2106	0.7318	0.7970
-0.0236	0.5137	0.7885
-0.0727	0.4495	0.7620
-0.1785	0.4533	0.6912
-0.2153	0.6100	0.7139
-0.1822	0.6147	0.8602
-0.2191	0.5430	0.9452
-0.1822	0.4759	0.9358
-0.1964	0.4457	0.9046
-0.2483	0.3919	0.8621
-0.2304	0.4561	0.8234
-0.1322	0.6110	0.7923

Activity Name:  Situps/whc
Left,Front
2014-09-02 10:50:35
x	y	z
-0.242	0.478	0.944
-0.204	0.476	0.894
-0.204	0.476	0.894
-0.204	0.476	0.894
-0.204	0.476	0.894
-0.204	0.476	0.894
-0.204	0.476	0.894
-0.204	0.476	0.894
-0.204	0.476	0.894
-0.006	0.966	0.432
-0.014	0.95	0.442
-0.02	0.948	0.428
-0.01	0.966	0.39
-0.004	0.964	0.396
-0.01	0.958	0.41
-0.002	0.954	0.41
0.012	0.968	0.416
-0.008	0.972	0.406
-0.022	0.962	0.394
-0.016	0.97	0.394
-0.026	0.958	0.4
-0.016	0.954	0.396
0.024	0.96	0.392
-0.012	0.938	0.422
0.03	0.914	0.424
0.068	0.818	0.484
-0.082	0.802	0.544
-0.01	0.78	0.414
0.052	0.756	0.602
0.224	0.746	0.734
0.292	0.676	0.572
0.148	0.692	0.602
0.122	0.666	0.724
0.086	0.62	0.7
-0.062	0.546	0.704
-0.118	0.576	0.658
-0.142	0.668	0.614
-0.272	0.846	0.564
-0.212	0.992	0.61
0.02	1.006	0.53
0.056	1.008	0.63
0.236	0.948	0.688
0.254	0.874	0.562
0.056	0.954	0.756
0.508	0.586	1.152
0.582	0.334	1.194
0.396	0.416	0.964
0.398	0.41	0.892
0.274	0.38	1.042
0.214	0.386	0.994
0.23	0.408	0.9
0.16	0.366	0.782
0.244	0.298	0.754
0.356	0.334	0.736
0.58	0.35	0.702
0.652	0.344	0.912
0.728	0.324	1.016
0.63	0.268	0.87
0.534	0.222	0.836
0.46	0.224	0.804
0.558	0.246	0.688
0.492	0.28	0.838
0.458	0.23	0.828
0.556	0.318	0.76
0.554	0.208	0.728
0.5	0.214	0.786
0.584	0.19	0.832
0.55	0.228	0.814
0.652	0.15	0.818
0.614	0.15	0.764
0.622	0.154	0.718
0.462	0.174	0.614
0.308	0.1	0.55
0.14	0.11	0.558
0.252	-0.15	1.484
-0.216	-0.1	1.416
-0.382	-0.044	0.988
-0.036	-0.254	1.326
-0.154	-0.306	1.62
-0.032	-0.142	0.514
-0.096	-0.186	0.956
-0.49	-0.258	1.206
-0.562	-0.316	0.82
-0.5	-0.342	0.874
-0.206	-0.32	1.226
-0.104	-0.32	1.582
0.326	-0.466	1.434
0.766	-0.318	1.158
0.868	-0.226	1.074
0.932	-0.244	0.94
0.722	-0.274	0.624
0.718	-0.294	0.486
0.662	-0.528	0.004
0.586	-0.502	-0.054
0.558	-0.638	-0.078
0.582	-0.878	0.048
0.642	-0.934	0.04
0.642	-0.92	0.01
0.686	-1.004	0.066
0.696	-1.114	0.12
0.982	-1.3	0.138
1.386	-1.478	0.152
1.964	-1.552	0.198
2.084	-1.244	0.114
1.93	-0.878	0.216
1.854	-0.588	0.374
1.708	0.004	0.514
1.568	0.636	0.676
1.558	0.696	0.78
1.542	0.606	0.932
1.56	0.142	0.966
1.502	-0.464	0.802
1.508	-0.972	0.862
1.636	-1.33	0.85
2.094	-2	0.648
1.976	-1.968	0.514
1.756	-1.662	0.558
1.736	-1.526	0.446
1.594	-1.21	0.404
1.206	-0.818	0.284
0.76	-0.502	0.398
0.606	-0.318	0.374
0.518	-0.158	0.344
0.22	0.044	0.41
0.084	0.294	0.39
0	0.388	0.422
-0.048	0.45	0.49
0.04	0.432	0.668
0.128	0.42	0.872
0.064	0.396	0.88
